"img1","img2","similarity"
"beach16.jpg","beach13.jpg",1
"beach16.jpg","beach20.jpg",0
"beach16.jpg","beach5.jpg",0
"beach16.jpg","beach7.jpg",1
"beach16.jpg","beach8.jpg",0.2
"beach16.jpg","beach4.jpg",1
"beach16.jpg","beach11.jpg",0.5
"beach16.jpg","beach6.jpg",0.333333333333333
"beach16.jpg","beach9.jpg",0
"beach16.jpg","beach18.jpg",0
"beach16.jpg","beach19.jpg",NA
"beach16.jpg","beach17.jpg",0.2
"beach16.jpg","beach15.jpg",1
"beach16.jpg","beach22.jpg",0
"beach16.jpg","beach12.jpg",NA
"beach16.jpg","beach1.jpg",0.5
"beach16.jpg","beach0.jpg",NA
"beach16.jpg","beach14.jpg",0
"beach16.jpg","beach21.jpg",0
"beach16.jpg","beach23.jpg",0
"beach16.jpg","beach10.jpg",NA
"beach10.jpg","beach3.jpg",1
"beach10.jpg","beach2.jpg",0
"beach10.jpg","beach13.jpg",0
"beach10.jpg","beach20.jpg",0.5
"beach10.jpg","beach5.jpg",0.666666666666667
"beach10.jpg","beach7.jpg",0
"beach10.jpg","beach8.jpg",1
"beach10.jpg","beach4.jpg",0
"beach10.jpg","beach11.jpg",0.5
"beach10.jpg","beach6.jpg",0
"beach10.jpg","beach9.jpg",0.333333333333333
"beach10.jpg","beach18.jpg",NA
"beach10.jpg","beach19.jpg",0.25
"beach10.jpg","beach17.jpg",1
"beach10.jpg","beach15.jpg",0
"beach10.jpg","beach22.jpg",0
"beach10.jpg","beach12.jpg",1
"beach10.jpg","beach1.jpg",NA
"beach10.jpg","beach0.jpg",0
"beach10.jpg","beach14.jpg",0.333333333333333
"beach10.jpg","beach21.jpg",1
"beach10.jpg","beach23.jpg",0.5
"beach10.jpg","beach16.jpg",NA
"gazebo0.jpg","gazebo23.jpg",0.175378787878788
"gazebo0.jpg","gazebo1.jpg",0.304274891774892
"gazebo0.jpg","gazebo14.jpg",0.331691919191919
"gazebo0.jpg","gazebo10.jpg",0.307575757575758
"gazebo0.jpg","gazebo18.jpg",0.0873737373737374
"gazebo0.jpg","gazebo4.jpg",0.266017316017316
"gazebo0.jpg","gazebo6.jpg",0.435497835497835
"gazebo0.jpg","gazebo7.jpg",0.0640692640692641
"gazebo0.jpg","gazebo21.jpg",0.375955988455988
"gazebo0.jpg","gazebo9.jpg",0.249263038548753
"gazebo0.jpg","gazebo11.jpg",0.775094482237339
"gazebo0.jpg","gazebo20.jpg",0.166017316017316
"gazebo0.jpg","gazebo22.jpg",0.605844155844156
"gazebo0.jpg","gazebo5.jpg",0.0907647907647908
"gazebo0.jpg","gazebo16.jpg",0.316832283877738
"gazebo0.jpg","gazebo8.jpg",0.251893939393939
"gazebo0.jpg","gazebo3.jpg",0.12555143269429
"gazebo0.jpg","gazebo15.jpg",0.110714285714286
"gazebo0.jpg","gazebo2.jpg",0.273922902494331
"gazebo0.jpg","gazebo17.jpg",0.229960317460317
"gazebo0.jpg","gazebo13.jpg",0.155483405483405
"gazebo0.jpg","gazebo12.jpg",0.142424242424242
"gazebo0.jpg","gazebo19.jpg",0.2129329004329
"gazebo23.jpg","gazebo0.jpg",0.175378787878788
"gazebo23.jpg","gazebo1.jpg",0.332936507936508
"gazebo23.jpg","gazebo14.jpg",0.178535353535354
"gazebo23.jpg","gazebo10.jpg",0.163006690279418
"gazebo23.jpg","gazebo18.jpg",0.212131519274376
"gazebo23.jpg","gazebo4.jpg",0.570779220779221
"gazebo23.jpg","gazebo6.jpg",0.371049783549784
"gazebo23.jpg","gazebo7.jpg",0.429761904761905
"gazebo23.jpg","gazebo21.jpg",0.301473922902494
"gazebo23.jpg","gazebo9.jpg",0.427362055933484
"gazebo23.jpg","gazebo11.jpg",0.0706709956709957
"gazebo23.jpg","gazebo20.jpg",0.459240362811791
"gazebo23.jpg","gazebo22.jpg",0.288203463203463
"gazebo23.jpg","gazebo5.jpg",0.397781385281385
"gazebo23.jpg","gazebo16.jpg",0.390105601469238
"gazebo23.jpg","gazebo8.jpg",0.338208616780045
"gazebo23.jpg","gazebo3.jpg",0.569967532467533
"gazebo23.jpg","gazebo15.jpg",0.683982683982684
"gazebo23.jpg","gazebo2.jpg",0.270310245310245
"gazebo23.jpg","gazebo17.jpg",0.380050505050505
"gazebo23.jpg","gazebo13.jpg",0.277272727272727
"gazebo23.jpg","gazebo12.jpg",0.426046176046176
"gazebo23.jpg","gazebo19.jpg",0.391378066378066
"gazebo1.jpg","gazebo0.jpg",0.304274891774892
"gazebo1.jpg","gazebo23.jpg",0.332936507936508
"gazebo1.jpg","gazebo14.jpg",0.104166666666667
"gazebo1.jpg","gazebo10.jpg",0.446103896103896
"gazebo1.jpg","gazebo18.jpg",0.12588813303099
"gazebo1.jpg","gazebo4.jpg",0.319642857142857
"gazebo1.jpg","gazebo6.jpg",0.300302343159486
"gazebo1.jpg","gazebo7.jpg",0.252886002886003
